id,nome,ano_lancamento,quantidade_avaliacoes,desenvolvedoras_id
1,"The Last of Us",2013,19075,"Naughty Dog"
2,"FIFA 23",2022,89556,"EA Sports"
3,"CS - GO ",2012,7218014,Valve
4,"Rayman Legends",2013,5991,Ubisoft
5,"Grand Theft Auto V",2015,1410445,Rockstar
6,"Marvel’s Spider-Man ",2022,44553," PlayStation Studios"
7,"Call of Duty®: Modern Warfare® II",2022,211118,Activision
8,"Resident Evil 4",2023,50422,Capcom
9,"Forza Horizon 5",2021,108491,"Xbox Game Studios"
10,"Red Dead Redemption 2 ",2019,369544,Rockstar
11,"Far Cry 3 ",2012,82384,Ubisoft
12,"Mortal Kombat 11",2019,55710," Warner Bros. Games"
13,"Horizon Zero Dawn™",2020,72209," PlayStation Studios"
14,"God of War",2022,71188," PlayStation Studios"
15,"Max Payne 3 ",2012,38021,Rockstar
